日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
2020/10/7,自營商,370822,42021,344708,41367,26114,654,211852,84369,190254,40540,21598,43829
2020/10/7,投信,726,1826,10,0,716,1826,12619,25675,50541,115324,-37922,-89649
2020/10/7,外資及陸資,301044,196931,293388,188101,7656,8830,160274,183872,198142,131132,-37868,52740
2020/10/8,自營商,238267,35374,241022,36175,-2755,-801,235672,87248,216790,43683,18882,43565
2020/10/8,投信,759,1954,0,0,759,1954,12675,26062,49838,114609,-37163,-88547
2020/10/8,外資及陸資,240223,193159,232300,192053,7923,1106,180138,191261,210083,137173,-29945,54088
2020/10/12,自營商,328270,43303,328342,42184,-72,1119,253103,90698,234404,45715,18699,44983
2020/10/12,投信,553,1426,211,543,342,883,12793,26481,49614,114477,-36821,-87996
2020/10/12,外資及陸資,297900,215941,306470,217245,-8570,-1304,180835,190472,219349,137544,-38514,52928
2020/10/13,自營商,303004,40070,321649,38473,-18645,1597,264419,94192,264438,47672,-19,46520
2020/10/13,投信,8,21,625,1614,-617,-1593,12778,26435,50216,115981,-37438,-89546
2020/10/13,外資及陸資,275126,195379,271902,189508,3224,5871,189172,197029,224507,138299,-35335,58730
2020/10/14,自營商,336511,37219,342759,39623,-6248,-2404,225417,91889,215228,47874,10189,44015
2020/10/14,投信,52,108,1347,3448,-1295,-3340,12699,26176,51432,118879,-38733,-92703
2020/10/14,外資及陸資,284846,178981,290354,183625,-5508,-4644,171561,194274,220870,140158,-49309,54116
2020/10/15,自營商,257369,53047,270199,45278,-12830,7769,239178,98951,242753,47330,-3575,51621
2020/10/15,投信,2574,6575,3719,9489,-1145,-2914,12649,25936,52527,121191,-39878,-95255
2020/10/15,外資及陸資,272232,244948,274745,246076,-2513,-1128,179513,193164,231365,140457,-51852,52707
2020/10/16,自營商,248845,45532,250134,47812,-1289,-2280,245676,98895,252308,49938,-6632,48957
2020/10/16,投信,6112,13982,7060,16317,-948,-2335,12614,25667,53440,122572,-40826,-96905
2020/10/16,外資及陸資,298840,255395,304878,262262,-6038,-6867,178297,180661,236187,135023,-57890,45638
2020/10/19,自營商,264882,57561,251831,57154,13051,407,254419,101837,248303,51862,6116,49975
